company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
ford,fusion-usa,2014,with mileage,52000.0,petrol,1500.0,white,auto,front-wheel drive,M,12500
nissan,juke,2011,with mileage,125000.0,petrol,1600.0,burgundy,auto,part-time four-wheel drive,J,10200
bmw,5-seriya,2004,with mileage,333333.0,diesel,3000.0,blue,auto,rear drive,E,9000
opel,frontera,2001,with mileage,240000.0,diesel,2200.0,black,mechanics,part-time four-wheel drive,D,4100
mercedes-benz,s-klass,1999,with mileage,360000.0,petrol,3200.0,silver,auto,rear drive,S,5400
opel,astra,2011,with mileage,216500.0,diesel,1300.0,black,mechanics,front-wheel drive,C,8500
audi,100,1994,with mileage,580000.0,petrol,2000.0,blue,mechanics,front-wheel drive,E,2800
chevrolet,captiva,2009,with mileage,248000.0,diesel,2000.0,other,auto,all-wheel drive,J,11000
lexus,nx,2014,with mileage,75000.0,petrol,2000.0,red,auto,part-time four-wheel drive,,26500
peugeot,308,2015,with mileage,153000.0,diesel,1600.0,black,mechanics,front-wheel drive,C,10100
hyundai,terracan,2003,with mileage,395000.0,diesel,2900.0,silver,auto,part-time four-wheel drive,J,6450
mitsubishi,outlander,2004,with mileage,197000.0,petrol,2400.0,silver,mechanics,all-wheel drive,J,5300
toyota,land-cruiser-prado,2007,with mileage,158000.0,diesel,3000.0,gray,auto,all-wheel drive,J,23000
mazda,tribute,2002,with mileage,170234.0,petrol,3000.0,black,auto,all-wheel drive,,5000
volkswagen,jetta,1988,with mileage,300000.0,diesel,1600.0,black,mechanics,front-wheel drive,C,900
ford,galaxy,1996,with mileage,250000.0,petrol,2000.0,red,mechanics,front-wheel drive,M,3000
mitsubishi,outlander,2003,with mileage,225307.6,petrol,2400.0,other,auto,all-wheel drive,J,5900
honda,fit,2010,with mileage,144414.1249,petrol,1500.0,black,auto,front-wheel drive,B,7900
bmw,5-seriya,1995,with mileage,390000.0,diesel,2500.0,blue,auto,rear drive,E,2700
opel,ascona,1985,with mileage,3548.0,diesel,1600.0,burgundy,mechanics,front-wheel drive,D,164
renault,fluence,2015,with mileage,86000.0,petrol,2000.0,brown,mechanics,front-wheel drive,C,9500
audi,q7,2015,with mileage,155000.0,diesel,3000.0,gray,auto,all-wheel drive,J,45500
toyota,yaris,2013,with mileage,163500.0,petrol,1000.0,white,mechanics,front-wheel drive,B,7400
renault,grand-scenic,2009,with mileage,230000.0,diesel,1500.0,other,mechanics,front-wheel drive,,8000
volkswagen,transporter,2003,with mileage,411000.0,diesel,1900.0,white,mechanics,front-wheel drive,M,7800
volvo,s60,2000,with mileage,300.0,petrol,2400.0,blue,mechanics,front-wheel drive,D,5100
mercedes-benz,a-klass-amg,2014,with mileage,67000.0,petrol,2000.0,white,auto,all-wheel drive,,27000
gaz,21,1970,with mileage,1.0,petrol,2400.0,blue,mechanics,rear drive,E,4300
